1,1,Respuesta 1
2,1,Respuesta 2
3,1,Respuesta 3
4,1,Respuesta 4
5,2,Respuesta 1
6,2,Respuesta 2
7,2,Respuesta 3
8,3,Respuesta 1
9,3,Respuesta 2
10,3,Respuesta 3
11,3,Respuesta 4
12,4,Respuesta 1
13,4,Respuesta 2
14,4,Respuesta 3
15,4,Respuesta 4
16,4,Respuesta 5
17,5,Respuesta 1
18,5,Respuesta 2
19,5,Respuesta 3
20,5,Respuesta 4
21,6,Respuesta 1
22,6,Respuesta 2
23,7,Respuesta 1
24,7,Respuesta 2
25,7,Respuesta 3
26,8,Respuesta 1
27,8,Respuesta 2
28,8,Respuesta 3
29,8,Respuesta 4
30,9,Respuesta 1
31,9,Respuesta 2
32,10,Respuesta 1
33,10,Respuesta 2
34,10,Respuesta 3
35,10,Respuesta 4
